txd	Part 1: Taixuan Dream	Chapter XX	Immortal Phoenix	Chapter XX
txd	Part 1: Taixuan Dream	Chapter XXI	Wings of Reawakening	Chapter XXI
txd	Part 1: Taixuan Dream	Chapter XXII	Me and Myself	Chapter XXII
rf	Part 1: Remaining Flames	Chapter XXIII	The Solo Stage	Chapter XXIII
rf	Part 1: Remaining Flames	Chapter XXIV	The Legion Theater	Chapter XXIV
rf	Part 1: Remaining Flames	Chapter XXV	Set Tomorrow Ablaze	Chapter XXV
tsa	Part 1: Thus Spoke Apocalypse	Chapter XXV - EX	Immortal Blades	Chapter XXV-EX
tsa	Part 1: Thus Spoke Apocalypse	Chapter XXVI	The Birth of Tragedy	Chapter XXVI
tsa	Part 1: Thus Spoke Apocalypse	Chapter XXVII	Dusk of the Fool	Chapter XXVII
tsa	Part 1: Thus Spoke Apocalypse	Chapter XXVIII	Beyond Will	Chapter XXVIII
ttf	Part 1: To the Flawless	Chapter XXIX	Tochter aus Elysium	Chapter XXIX
ttf	Part 1: To the Flawless	Chapter XXX	Marcia Funebre	Chapter XXX
ttf	Part 1: To the Flawless	Chapter XXXI	Für Elysia	Chapter XXXI
dotf	Part 1: The Day of Transcending Finality	Chapter EX	Project Stigma	EX Chapter
dotf	Part 1: The Day of Transcending Finality	Chapter XXXII	End of the World	Chapter XXXII
dotf	Part 1: The Day of Transcending Finality	Chapter XXXIII	In the Name of the Truth	Chapter XXXIII
dotf	Part 1: The Day of Transcending Finality	Chapter XXXIV	The Moon's Origin and Finality	Chapter XXXIV
dotf	Part 1: The Day of Transcending Finality	Chapter XXXV	Toward a New Tomorrow	Chapter XXXV
atfots	Part 1.5: At the Fingertip of the Sea	Chapter XXXVI	Hailing from Nagazora	Chapter XXXVI
atfots	Part 1.5: At the Fingertip of the Sea	Chapter XXXVII	Of Salt, Snow, and Sand	Chapter XXXVII
atfots	Part 1.5: At the Fingertip of the Sea	Chapter XXXVIII	Lone Tower, Fallen Star	Chapter XXXVIII
atfots	Part 1.5: At the Fingertip of the Sea	Chapter XXXIX	Daughters of the Sea	Chapter XXXIX
bts	Part 1.5: Beyond the Stars	Chapter XL	Seven Karma Phala	Chapter XL
bts	Part 1.5: Beyond the Stars	Chapter XLI	Worldly Retribution	Chapter XLI
bts	Part 1.5: Beyond the Stars	Chapter XLII	Earthbound Order	Chapter XLII
bts	Part 1.5: Beyond the Stars	Interlude	The Star Which the Moon Gazes Upon	The Star Which the Moon Gazes Upon
ttgb	Part 2: Tides of Time Gone By	Chapter I	Hundred Years of Solitary Shadow	Part 2 Chapter I
ttgb	Part 2: Tides of Time Gone By	Chapter II	The Seven Shus in the Maze	Part 2 Chapter II
ttgb	Part 2: Tides of Time Gone By	Chapter III	A Crime Foretold	Part 2 Chapter III
ttgb	Part 2: Tides of Time Gone By	Chapter EX	Bitterness for a Sleepwalker	Part 2 EX Chapter
asuw	Part 2: A Shore Under Watch	Chapter IV	A Shore Under Watch	Part 2 Chapter IV
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter V	The First and Last War	Part 2 Chapter V
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter VI	Wails Stifled by the Silent Shadow	Part 2 Chapter VI
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter VII	Bouquets of Unfulfilled Wishes	Part 2 Chapter VII
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter EX-2	To None May God Pray	Part 2 EX Chapter 2
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter VIII	Till the Long Road Reaches the Sky	Part 2 Chapter VIII
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter IX	If Destiny Concludes Today	Part 2 Chapter IX
datrow	Part 2: Dawn after the Remaining Old Wish	Chapter EX-3	Yet the Stars Still Sparkle	Part 2 EX Chapter 3
aric	Part 2: A Rose in a Curtsy	Chapter X	Reunited Under the Light of Faith	Part 2 Chapter X
aric	Part 2: A Rose in a Curtsy	Chapter XI	A Mass for Atheists	Part 2 Chapter XI
aric	Part 2: A Rose in a Curtsy	Chapter EX-4	The Night Which the Light Dreams Of	Part 2 EX Chapter 4
aric	Part 2: A Rose in a Curtsy	Chapter XII	With You, Whom I Never Knew	Part 2 Chapter XII
aric	Part 2: A Rose in a Curtsy	Chapter XIII	A Rose in a Curtsy	Part 2 Chapter XIII
